Date,Medication,sales person,Category,units_sold,Amount ($),Branch ID,Payment Method,Branch Name,Chicago District/Neighborhood,Population,Total Healthcare Centers,Median Income ($)
2022-01-01 0:00,VitalCure 3% 30 gm,Ethan Ross,Antiseptic Cream,14,274.76,BR-05,Credit Card,Dermacare Pharmacy,Lakeview,98000,13,84700
2022-01-01 0:00,Healix 120 ml,Michael Carter,Cough Syrup,3,49.46,BR-02,Insurance,Northside Pharmacy,Lincoln Park,66000,11,96200
2022-01-01 0:00,Nisacure 0.9% 200ml,Sophia Brooks,Nasal Spray,4,73.33,BR-04,Insurance,Westfield Pharmacy,Austin,96000,8,39400
2022-01-01 0:00,Relivion 500 mg,Ethan Ross,Pain Relief Tablets,2,35,BR-03,Insurance,Eastgate Pharmacy,Hyde Park,28000,6,61800
2022-01-01 0:00,VitalCure 3% 30 gm,Ethan Ross,Antiseptic Cream,6,102.72,BR-01,Credit Card,Central Pharmacy,Loop / Near North Side,68000,14,88500
2022-01-01 0:00,Digehealth 30/5 mg,Grace Mitchell,Digestive Enzyme,9,162.37,BR-03,Cash,Eastgate Pharmacy,Hyde Park,28000,6,61800
2022-01-02 0:00,VitalCure 3% 30 gm,Ethan Ross,Antiseptic Cream,15,276.46,BR-06,Credit Card,Skinhealth Pharmacy,Gold Coast,18000,5,121300
2022-01-02 0:00,Relivion 500 mg,Michael Carter,Pain Relief Tablets,19,339.37,BR-07,Credit Card,MedTopical Pharmacy,Wicker Park / Logan Sq.,73000,9,78900
2022-01-02 0:00,Relivion 500 mg,Grace Mitchell,Pain Relief Tablets,4,63.25,BR-04,Cash,Westfield Pharmacy,Austin,96000,8,39400
2022-01-02 0:00,Relivion 500 mg,Emily Harper,Pain Relief Tablets,3,42.45,BR-05,Credit Card,Dermacare Pharmacy,Lakeview,98000,13,84700
2022-01-02 0:00,Digehealth 30/5 mg,Sophia Brooks,Digestive Enzyme,14,201.96,BR-03,Credit Card,Eastgate Pharmacy,Hyde Park,28000,6,61800
